Название;URL лого;Адрес сайта;Адрес новостей;Статус;Год основания;Лицензия;Платформа;Способы оплаты;Описание;Адрес;Партнерская ссылка;Мин. размер счета;"Кредитное плечо ""от""";"Кредитное плечо ""до""";Мин. размер сделки;Спрэд;Комиссия;Демо счет;Мобильный брокер;Партнерская программа;Доверительное управления;Бонусы;Отключен
Forex MMCIS;/wp-content/plugins/forexbox/images/broker_logo/forex-mmcis-group.png;http://www.forex-mmcis.com/;http://www.forex-mmcis.com/news.html;0;2007;Сертификат ЦРОФР;MetaTrader 4;Электронные деньги (WebMoney, Qiwi, Яндекc.Деньги, RBK Money и т.п.), банковские карты (Visa, MasterCard) и переводы (Western Union, MoneyGram, MIGOM);Компания «FOREX MMCIS group» была основана в 2007 году по инициативе инвестиционного фонда «MMCIS investments». FOREX MMCIS group предоставляет все возможности для становления профессионального трейдера. На сегодняшний день компания предоставляет выгодные условия работы, актуальные и точные аналитические прогнозы, справочные материалы, разнообразные бонусные программы — это далеко не весь перечень преимуществ FOREX MMCIS group перед другими финансовыми компаниями. «FOREX MMCIS group» работает круглосуточно на международном онлайн рынке. Официальные представительства компании расположены в 15 странах мира: Израиле, Италии, Грузии, Болгарии, Эстонии, Латвии, Украине, Панаме, Франции, России, Казахстане, Турции, Норвегии, Германии и Англии.;Россия, г. Москва, Пресненская набережная, д. 8, строение 1/361м (БЦ), телефон: +7 (495) 989-85-74;http://www.forex-mmcis.com/;100$;1 к 50;1 к 500;0.01 лота;1 пункт;0%;1;1;1;1;50% на первый депозит до 1 000$;1
Forex Trend;/wp-content/plugins/forexbox/images/broker_logo/forextrend.png;http://www.fx-trend.com/;http://www.fx-trend.com/news/;0;2009;На брокерскую и дилерскую деятельность;MetaTrader 4;Электронные деньги (WebMoney, Qiwi, Яндекc.Деньги, RBK Money и т.п.), банковские переводы (Western Union, MoneyGram, MIGOM);Компания начала свою деятельность в 2009 году. Главный офис компании расположен в г.Днепропетровске – одном из крупнейших финансовых центров Украины. Компания Skopalino trading limited осуществляет непосредственное выведение заявок клиентов, торгующих на рынке Форекс, в международную электронную систему «Интеграл». Компания Skopalino trading limited имеет партнерский договор с компанией Форекс-Тренд, благодаря чему предоставляет возможность инвестирования в фондовый рынок.;Украина, г. Днепропетровск, ул. Глинки 2, Мост-сити, Башня А, офис 106, телефон: +38(056) 732-01-36;http://www.fx-trend.com/;20$;1 к 1;1 к 100;0.01 лота;0 пунктов;1%;1;1;1;1;Нет;1
ForexClub;/wp-content/plugins/forexbox/images/broker_logo/forexclub.png;http://www.fxclub.org/;http://www.www.fxclub.org/filials_center_news/;0;1997;ФСФР №1173;MetaTrader™ 4/FX+, Rumus 2, StartFX 2, ActTrader™;Электронные деньги (WebMoney, Qiwi, Яндекc.Деньги, RBK Money и т.п.), банковские карты (Visa, MasterCard) и переводы (Western Union, MoneyGram, MIGOM);<p>ГК FOREX CLUB – ведущий международный бренд на рынке FOREX, объединяющий брокерские компании и образовательные учреждения для трейдеров по всему миру.</p> <p>FOREX CLUB основан в 1997 году и в настоящее время является одним из ведущих участников мирового рынка интернет-трейдинга и FOREX. Обеспечивают эффективный доступ к интернет-трейдингу сотням тысяч клиентов более чем из 120 стран мира. В настоящее время компания обслуживает клиентов, говорящих на английском, русском, китайском, португальском и других языках.</p><p>Сеть клиентских офисов FOREX CLUB постоянно расширяется. На сегодняшний день Группа компаний представлена более чем 100 офисами в 12 странах мира, включая Россию, США и страны СНГ.</p>;Россия, г. Москва, 107078, ул. Мясницкая, д.48, телефон: +7 (495) 626-95-95, +7 (495) 727-06-77;http://www.fxclub.org/;200$;1 к 1;1 к 200;0.01 лота;0 пунктов;0%;1;1;1;1;За размер депозита и актитвную торговлю;1
Alpari;/wp-content/plugins/forexbox/images/broker_logo/alpari.png;http://www.alpari.ru/;http://www.alpari.ru/ru/company/news/;0;1998;Член «КРОУФР»;MetaTrader 4/5, Zulutrade, Mirror Trade, Alpari Direct;Электронные деньги (WebMoney, Qiwi, Яндекc.Деньги, RBK Money и т.п.), банковские карты (Visa, MasterCard) и переводы (Western Union, MoneyGram, MIGOM);<p>На сегодняшний день Альпари один из ведущих мировых брендов, предоставляющих услуги интернет-трейдинга. Безупречная репутация, клиентоориентированность и инновационный подход к развитию бизнеса позволили Альпари не только твердо занять свою нишу в России, но и успешно проводить мировую экспансию.</p><p>Бренд Альпари основан в 1998 году, больше 540 000 трейдеров из более чем 150 стран мира являются нашими клиентами. Альпари объединяет офисы компаний и официальных партнеров более чем в 20 странах. Офисы компаний бренда работают более чем в 40 городах России и СНГ.</p><p>Альпари входит в ТОП-3 мировых брокеров в рейтинге авторитетного ресурса Forex Magnates, а также является крупнейшим по итогам 2011 года форекс-брокером России, согласно результатам исследованиям ЦЭА «Интерфакс». Компании бренда Альпари являются обладателями множества престижных наград и премий в области финансовых рынков.</p>;Россия, г. Москва, Ракетный бульвар, д. 16 (м. ВДНХ), телефон: 8 (800) 200-01-31 (звонок по России бесплатный), +7 (495) 710-76-76;http://www.alpari.ru/;0.01$;1 к 1;1 к 500;0.01 лота;0.1 пункта;0%;1;1;1;1;Нет;1
RoboForex;/wp-content/plugins/forexbox/images/broker_logo/roboforex.png;http://www.roboforex.ru/;http://www.roboforex.ru/about/news/;0;2009;Член НП «ЦРФИН»;MetaTrader 4/5, PowerTrader;Электронные деньги (WebMoney, Qiwi, Яндекc.Деньги, RBK Money и т.п.), банковские карты (Visa, MasterCard);"<p>Компания RoboForex предоставляет широкий доступ на мировые финансовые рынки для проведения торговых операций. Клиенты Компании могут заключать сделки по всему спектру финансовых инструментов: валюта, акции, металлы, фьючерсы. Полный перечь финансовых инструментов представлен на с разделе Спецификации Контрактов.</p><p> RoboForex предлагает широкую линейку торговых счетов. Каждый трейдер RoboForex сможет подобрать условия, удовлетворяющие выбранной торговой стратегии. Вы можете ознакомится с торговыми условиями в разделе Типы Счетов.</p><p> Компания RoboForex зарегистрирована в Новой Зеландии под номером 2538375 в соответствии с Законом ""О компаниях"" от 1993г. Главным направлением деятельности Компании является оказание услуг частным и корпоративным клиентам на международных финансовых рынках. Компания имеет партнерские отношения с ведущими разработчиками программного обеспечения в сфере брокерских услуг. Используя технологию Bridge, компания применяет модель STP для работы со своим Прайм Брокером, при этом приказы клиентов исполняются в режиме Non-Dealing Desk.</p>";"Россия, г. Москва, 2-ая Хуторская ул. 38а, БЦ ""Mirland"", стр. 8, этаж 7, телефон: 8 (800) 555-02-34 (звонок по России бесплатный), +7 (495) 648-65-84";http://www.roboforex.ru/;0.01$;1 к 1;1 к 500;0.01 лота;0.4 пункта;0%;1;1;1;0;Бонус на депозит до 25% от суммы каждого пополнения (макс. 15 000 USD);1
NordFX;/wp-content/plugins/forexbox/images/broker_logo/nordfx.png;http://www.ru.nordfx.com/;http://www.avafx.com/ru/;0;2008;Лицензия международной бизнес категории 1 № C108006311;MetaTrader 4/5,  CQG, Integral, ZuluTrade;Электронные деньги (WebMoney, Qiwi, Skrill, Liberty Reserve и т.п.), банковские карты (Visa, MasterCard);<p>NordFX является международной брокерской компанией, предлагающей физическим лицам и компаниям полный комплекс услуг по торговле на рынке форекс и деривативами на рынках акций, драгоценных металлов, фьючерсов по товарам и энергоносителям.</p><p>NordFX уполномочен Комиссией по финансовым услугам Маврикия на управление по лицензии портфелями ценных бумаг и консультирование по вопросам торговли на рынках ЦБ. NordFX имеет также лицензию Министерства Торговли и Промышленности республики Панама на осуществление деятельности по торговле на рынке обмена валют и брокерской деятельности, управление активами, финансовое консультирование и прочие связанные виды деятельности.</p>;Россия, г. Новосибирск, ул. Геодезическая 2/1, офис 8-4, телефон: +7 (383) 301-06-11;http://www.ru.nordfx.com/;5$;1 к 1;1 к 500;0.01 лота;0 пунктов;0%;1;1;1;0;Нет;1
AvaFX;/wp-content/plugins/forexbox/images/broker_logo/avafx.png;http://www.avafx.com/;http://www.avafx.com/ru/;0;2006;Лицензия MiFID Investment Firm № C53877;AvaTrader, MetaTrader 4 , Mirror Trader, Ava Mobile Trading;Электронные деньги (WebMoney, Skrill, PayPal и т.п.), банковские карты (Visa, MasterCard);<p>AvaFX - одна из лидирующих в мире брокерских компаний, работающая на рынке Форнкс в реальном времени, с более чем 50,000 зарегистрированных клиентов по всему миру и оборотом капитала в сумме 20 миллиардов долларов США в месяц. Основанная в 2006 году командой финансовых профессионалов и экспертов в области интернет-технологий, AvaFX создана для проведения торговых операций в режиме онлайн.</p><p>Уникальность этой компании состоит в том, что она ориентирована на запросы пользователей. В то время, как многие другие брокерские компании такого типа являются просто банковскими учреждениями в системе онлайн, Ava FX была создана профессиональными трейдерами, которые понимают потребности этого нового и растущего сектора рынка. В нашей компании все подчинено запросам пользователя: начиная с 24-часового центра поддержки, фукционирующего на десятках языков, и кончая нашим передовым интерфейсом.</p>;Ирландия, г. Дублин 1, Центр Международных финансовых услуг(IFSC), телефон: +7 (499) 918-61-81;http://www.avafx.com/;100$;1 к 200;;0.01 лота;3 пункта;0%;1;1;1;0;Бонус на 1-й депозит при открытие нового счета (мин. депозит от 100$);1
Exness;/wp-content/plugins/forexbox/images/broker_logo/exness.png;https://www.exness.com/;https://www.exness.com/intl/ru/news;0;2008;Компания внесена в реестр Financial Service Provider Register New Zealand в качестве поставщика финансовых услуг № 3570551, а также зарегистрирована в правительственной организации Financial Dispute Resolution Service № 181164.;MetaTrader 4/5;Электронные деньги (WebMoney, Qiwi, Яндекc.Деньги, RBK Money и т.п.), банковские карты (Visa, MasterCard) и переводы (Western Union, MoneyGram, MIGOM);Основным стремлением компании EXNESS является достижение глубокого уровня понимания клиента. Предлагая трейдерам, инвесторам и партнерам услуги исключительно высокого качества, EXNESS не перестает поднимать технологический уровень, создавая комфортную и эффективную среду для своих клиентов. Компания отвечает самым современным запросам и способна помочь в реализации любых целей клиента. Политика компании в отношении качества обслуживания предполагает максимальную поддержку и осуществление индивидуального подхода в каждом конкретном случае.;Россия, г. Санкт-Петербург, Невский проспект 55, лит. А, Б. Ц. Regus Nevsky Plaza, офис 309, телефон: +7 (812) 454-88-12;https://www.exness.com/;100$;1 к 50;1 к 2000;0.01 лота;0.3 пункта;0%;1;1;1;0;Нет;1
HotForex;/wp-content/plugins/forexbox/images/broker_logo/hotforex.png;http://www.hotforex.com/;http://www.www.hotforex.com/en/market-news/glossary-of-economic-releases.html;0;2010;Лицензия международной бизнес категории 1 № C110008214;MetaTrader 4;Электронные деньги (WebMoney, Liberty Reserve, PerfectMoney, Skrill и т.п.), банковские карты (Visa, MasterCard) и переводы (Western Union, MoneyGram, MIGOM);HotForex — онлайн форекс брокер, предлагающий запатентованные технологии и инструменты для онлайн торговли на рынке Форекс, дает возможность доступа к межбанковским процентным ставкам через автоматизированные торговые платформы. Компания имеет многолетний опыт торговли, она представляет себя в качестве валютного брокера для трейдеров и славится своей надежностью, честностью и электронными сетями связи. Клиентам предоставляется безлимитный доступ к советам экспертов и качественной поддержке.;Mauritius, Ebene, Cybercity, NG Tower 2nd Floor, телефон: 8 (800) 100-63-22 (звонок по России бесплатный);http://www.hotforex.com/;5$;1 к 1;1 к 1000;0.01 лота;0.2 пункта;0%;1;1;1;1;Нет;1
MRC Markets;/wp-content/plugins/forexbox/images/broker_logo/mrc.png;http://www.mrcmarkets.ru/;http://www.mrcmarkets.ru/news/;0;1971;Лицензия ФСФР №078-10332-100000;MetaTrader 4;Электронные деньги (WebMoney, RBK Money, Skrill и т.п.), банковские карты (Visa, MasterCard) и переводы;MRC Markets предоставляет брокерские услуги для физических и юридических лиц по всему миру и гарантирует высочайшее качество обслуживания и лучшие торговые условия для всех клиентов компании.;Россия, г. Москва, Подкопаевский пер., д. 4., телефон: +7 (495) 661-10-09, +7 (812) 318 13 33;http://www.mrcmarkets.ru/;0.01$;1 к 20;1 к 500;0.1 лота;0.5 пункта;0%;1;1;1;1;Нет;1
